epoch,time,train_loss,val_loss,accuracy_train,accuracy_val,precision_train,precision_val,recall_train,recall_val
1,156.5951,0.9736,0.7236,0.3333,0.5,0.3333,1.0,0.25,0.2727
2,154.8373,0.8268,0.7489,0.4762,0.5,0.4762,1.0,0.369,0.1818
3,154.1395,0.7331,0.7243,0.5714,0.5,0.5714,0.5,0.4762,1.0
4,154.8145,0.7744,0.9165,0.5238,0.5,0.5238,0.5,0.4048,1.0
5,156.3254,0.7925,0.6974,0.5,0.5,0.5,1.0,0.381,0.1818
6,155.2476,0.7885,0.6926,0.5,0.5,0.5,0.4545,0.3452,0.9091
7,157.436,0.8857,0.8287,0.381,0.5,0.381,0.5,0.2976,1.0
8,156.6479,0.817,0.7174,0.4524,0.5,0.4524,0.5455,0.3333,0.7273
9,157.6271,0.755,0.7491,0.5238,0.5,0.5238,0.5,0.369,1.0
10,155.0184,0.8491,1.1578,0.4048,0.5,0.4048,1.0,0.25,0.3636
11,154.6147,0.821,0.6796,0.4286,0.5909,0.4286,1.0,0.3095,0.3182
12,155.3799,0.7817,0.6852,0.4762,0.5455,0.4762,0.5455,0.3452,1.0
13,155.0146,0.7264,0.6944,0.5476,0.5,0.5476,1.0,0.4167,0.3636
14,154.8355,0.7964,0.6911,0.4524,0.5909,0.4524,0.9091,0.381,0.4091
15,154.9689,0.759,0.6973,0.5,0.5,0.5,1.0,0.381,0.2727
16,155.378,0.7448,0.7002,0.5238,0.5,0.5238,0.5,0.4524,1.0
17,155.8861,0.8431,0.6864,0.381,0.6364,0.381,0.5909,0.2619,0.8636
18,154.5524,0.7554,0.6925,0.5,0.5,0.5,1.0,0.369,0.2727
19,156.5207,0.7551,0.6939,0.5,0.5,0.5,1.0,0.3571,0.3636
20,155.6063,0.8221,0.6873,0.4048,0.4545,0.4048,0.9091,0.2738,0.2727
21,156.7234,0.7037,0.6813,0.5714,0.6818,0.5714,0.7727,0.4286,0.8182
22,156.1736,0.754,0.6837,0.5,0.6364,0.5,0.8636,0.3929,0.5455
23,155.7152,0.6866,0.6876,0.5952,0.5,0.5952,0.9091,0.4643,0.5455
24,155.4596,0.7535,0.6845,0.5,0.5909,0.5,0.9545,0.369,0.3636
25,154.6409,0.7199,0.6837,0.5476,0.5909,0.5476,0.9091,0.4524,0.5
26,154.315,0.7698,0.6929,0.4762,0.5,0.4762,1.0,0.3333,0.3636
27,154.5131,0.8192,0.6854,0.4048,0.5909,0.4048,0.9091,0.2738,0.4091
28,154.187,0.8026,0.6838,0.4286,0.6364,0.4286,0.6818,0.2976,0.7727
29,153.7189,0.7858,0.6863,0.4524,0.5909,0.4524,0.6818,0.3571,0.6364
30,156.0643,0.7192,0.6836,0.5476,0.6364,0.5476,0.5909,0.4167,0.8636
31,153.5566,0.7856,0.6832,0.4524,0.6818,0.4524,0.9545,0.3333,0.5455
32,154.0027,0.7193,0.6842,0.5476,0.6818,0.5476,0.9091,0.4048,0.5455
33,155.4,0.6693,0.6819,0.619,0.5909,0.619,0.5,0.5,0.8636
34,156.8194,0.719,0.6893,0.5476,0.5,0.5476,1.0,0.4167,0.2727
35,155.6344,0.7523,0.6881,0.5,0.5,0.5,1.0,0.3929,0.1818
36,156.5591,0.7351,0.6907,0.5238,0.5,0.5238,1.0,0.3929,0.1818
37,156.2076,0.7687,0.6869,0.4762,0.5,0.4762,1.0,0.3452,0.3636
38,155.9064,0.7192,0.6859,0.5476,0.5,0.5476,0.5455,0.4286,0.9545
39,156.344,0.7357,0.6856,0.5238,0.5,0.5238,0.9091,0.4048,0.2727
40,156.3985,0.7026,0.6878,0.5714,0.5,0.5714,1.0,0.4524,0.1818
41,155.6131,0.7682,0.6868,0.4762,0.5455,0.4762,1.0,0.3452,0.2727
42,155.9832,0.7191,0.6816,0.5476,0.5909,0.5476,0.6364,0.4286,0.6818
43,155.4149,0.7205,0.6856,0.5476,0.5455,0.5476,0.9091,0.4048,0.4545
44,156.3803,0.818,0.6832,0.4048,0.5455,0.4048,0.9545,0.2857,0.4091
45,155.5869,0.7026,0.6861,0.5714,0.5,0.5714,1.0,0.4405,0.2727
46,157.1191,0.7686,0.6863,0.4762,0.5909,0.4762,0.9091,0.3333,0.5
47,155.8631,0.6786,0.697,0.619,0.5,0.619,1.0,0.5476,0.2727
48,156.464,0.7356,0.6858,0.5238,0.6364,0.5238,0.5909,0.4167,0.8636
49,155.7639,0.7191,0.6958,0.5476,0.5,0.5476,1.0,0.4405,0.2727
50,156.2594,0.7686,0.6865,0.4762,0.5,0.4762,1.0,0.381,0.1818
